Tracking Number,Transaction Date,Service Code,Published Charge,Incentive Charge,Net Charge,Ref No 1,Billed Weight,Package Quantity,Zone,Receiver City,Receiver State,Receiver Postal,Detail Keyed Dim,Total Cost,Adjustment
1ZR4R346YW94317116,2022-03-01,UPS SurePost - 1 LB or Greater,18.75,-3.74,15.01,3140166,6.0,1,7.0,Merrick,NY,11566,15.0x 15.0x  6.0,15.01,0.0
1ZR4R346YW95211264,2022-03-01,UPS SurePost - 1 LB or Greater,22.54,-3.57,18.97,3140219,4.0,1,7.0,Spencer,NY,14883,14.0x 14.0x  4.0,18.97,0.0
1ZR4R346YW94415699,2022-03-01,UPS SurePost - 1 LB or Greater,17.81,-3.56,14.25,3140172,6.0,1,6.0,Mobile,AL,36695,15.0x 15.0x  6.0,14.25,0.0
1ZR4R346YW96483424,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140189,6.0,1,5.0,CIBOLO,TX,78108,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW96486305,2022-03-01,UPS SurePost - 1 LB or Greater,19.17,-2.92,16.25,3140186,2.0,1,5.0,Tehachapi,CA,93561,14.0x  8.0x  4.0,16.25,0.0
1ZR4R346YW96105332,2022-03-01,UPS SurePost - 1 LB or Greater,20.68,-3.37,17.31,3140178,4.0,1,6.0,Fountain Inn,SC,29644,14.0x 14.0x  4.0,17.31,0.0
1ZR4R346YW95085044,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140185,6.0,1,5.0,Chicago,IL,60657,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW93206907,2022-03-01,UPS SurePost - 1 LB or Greater,18.75,-3.74,15.01,3140128,6.0,1,7.0,New York,NY,10021,15.0x 15.0x  6.0,15.01,0.0
1ZR4R346YW95074270,2022-03-01,UPS SurePost - 1 LB or Greater,16.41,-3.28,13.13,3140218,4.0,1,5.0,Stockton,CA,95209,14.0x 14.0x  4.0,13.13,0.0
1ZR4R346YW96059991,2022-03-01,UPS SurePost - 1 LB or Greater,18.75,-3.74,15.01,3140197,6.0,1,7.0,Syracuse,NY,13212,15.0x 15.0x  6.0,15.01,0.0
1ZR4R346YW94948560,2022-03-01,UPS SurePost - 1 LB or Greater,18.75,-3.74,15.01,3140245,6.0,1,7.0,Cary,NC,27519,15.0x 15.0x  6.0,15.01,0.0
1ZR4R346YW96531229,2022-03-01,UPS SurePost - 1 LB or Greater,16.41,-3.28,13.13,3140226,4.0,1,5.0,La Porte,TX,77571,14.0x 14.0x  4.0,13.13,0.0
1ZR4R346YW94770911,2022-03-01,UPS SurePost - 1 LB or Greater,15.97,-3.19,12.78,3140126,6.0,1,4.0,Lenexa,KS,66227,15.0x 15.0x  6.0,12.78,0.0
1ZR4R346YW94759783,2022-03-01,UPS SurePost - 1 LB or Greater,23.37,-3.74,19.63,3140117,6.0,1,7.0,Petersburg,NY,12138,15.0x 15.0x  6.0,19.63,0.0
1ZR4R346YW94722651,2022-03-01,UPS SurePost - 1 LB or Greater,20.8,-4.16,16.64,3140251,9.0,1,7.0,Lawrence,MA,01843,15.0x 15.0x 10.0,16.64,0.0
1ZR4R346YW94709265,2022-03-01,UPS SurePost - 1 LB or Greater,22.58,-3.74,18.84,3140227,6.0,1,7.0,Lebanon,CT,06249,15.0x 15.0x  6.0,18.84,0.0
1ZR4R346YW94616169,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140158,6.0,1,5.0,Rosemead,CA,91770,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW94528826,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140145,6.0,1,5.0,Jefferson City,MO,65101,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW95884743,2022-03-01,UPS SurePost - 1 LB or Greater,12.85,-2.57,10.28,3140177,4.0,1,2.0,Thornton,CO,80241,14.0x 14.0x  4.0,10.28,0.0
1ZR4R346YW94464001,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140115,6.0,1,5.0,MENDOTA HEIGHTS,MN,55118,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW96689453,2022-03-01,UPS SurePost - 1 LB or Greater,16.41,-3.28,13.13,3140220,4.0,1,5.0,BATTLE CREEK,MI,49015,14.0x 14.0x  4.0,13.13,0.0
1ZR4R346YW92816125,2022-03-01,UPS SurePost - 1 LB or Greater,17.81,-3.56,14.25,3140233,6.0,1,6.0,Cincinnati,OH,45202,15.0x 15.0x  6.0,14.25,0.0
1ZR4R346YW93189847,2022-03-01,UPS SurePost - 1 LB or Greater,21.65,-3.56,18.09,3140130,6.0,1,6.0,Covington,GA,30014,15.0x 15.0x  6.0,18.09,0.0
1ZR4R346YW91008170,2022-03-01,UPS SurePost - 1 LB or Greater,21.65,-3.56,18.09,3140246,6.0,1,6.0,Millersburg,OH,44654,15.0x 15.0x  6.0,18.09,0.0
1ZR4R346YW91485280,2022-03-01,UPS SurePost - 1 LB or Greater,16.41,-3.28,13.13,3140253,4.0,1,5.0,Woodburn,OR,97071,14.0x 14.0x  4.0,13.13,0.0
1ZR4R346YW91410387,2022-03-01,UPS SurePost - 1 LB or Greater,23.37,-3.74,19.63,3140248,6.0,1,7.0,Hammond,NY,13646,15.0x 15.0x  6.0,19.63,0.0
1ZR4R346YW91335138,2022-03-01,UPS SurePost - 1 LB or Greater,18.38,-3.69,14.69,3140175,9.0,1,5.0,Southlake,TX,76092,15.0x 15.0x 10.0,14.69,0.0
1ZR4R346YW91291775,2022-03-01,UPS SurePost - 1 LB or Greater,18.75,-3.74,15.01,3140155,6.0,1,7.0,Cape Coral,FL,33991,15.0x 15.0x  6.0,15.01,0.0
1ZR4R346YW91266605,2022-03-01,UPS SurePost - 1 LB or Greater,18.75,-3.74,15.01,3140263,6.0,1,7.0,Orlando,FL,32811,15.0x 15.0x  6.0,15.01,0.0
1ZR4R346YW91234470,2022-03-01,UPS SurePost - 1 LB or Greater,20.68,-3.37,17.31,3140190,4.0,1,6.0,Hoschton,GA,30548,14.0x 14.0x  4.0,17.31,0.0
1ZR4R346YW91225855,2022-03-01,UPS SurePost - 1 LB or Greater,17.92,-3.57,14.35,3140196,4.0,1,7.0,Medford,NY,11763,14.0x 14.0x  4.0,14.350000000000001,0.0
1ZR4R346YW91224598,2022-03-01,UPS SurePost - 1 LB or Greater,21.03,-3.44,17.59,3140116,6.0,1,5.0,Hemet,CA,92543,15.0x 15.0x  6.0,17.59,0.0
1ZR4R346YW91215080,2022-03-01,UPS SurePost - 1 LB or Greater,21.03,-3.44,17.59,3140223,6.0,1,5.0,Celina,TX,75009,15.0x 15.0x  6.0,17.59,0.0
1ZR4R346YW91183061,2022-03-01,UPS SurePost - 1 LB or Greater,17.81,-3.56,14.25,3140176,6.0,1,6.0,Pittsburgh,PA,15208,15.0x 15.0x  6.0,14.25,0.0
1ZR4R346YW91059633,2022-03-01,UPS SurePost - 1 LB or Greater,20.24,-3.28,16.96,3140203,4.0,1,5.0,Whitehouse,TX,75791,14.0x 14.0x  4.0,16.96,0.0
1ZR4R346YW90994688,2022-03-01,UPS SurePost - 1 LB or Greater,15.44,-3.08,12.36,3140187,4.0,1,4.0,Kansas City,MO,64114,14.0x 14.0x  4.0,12.360000000000001,0.0
1ZR4R346YW91580211,2022-03-01,UPS SurePost - 1 LB or Greater,21.03,-3.44,17.59,3140147,6.0,1,5.0,Boonville,IN,47601,15.0x 15.0x  6.0,17.59,0.0
1ZR4R346YW90820436,2022-03-01,UPS SurePost - 1 LB or Greater,20.8,-4.16,16.64,3140247,9.0,1,7.0,Safety Harbor,FL,34695,15.0x 15.0x 10.0,16.64,0.0
1ZR4R346YW90748999,2022-03-01,UPS SurePost - 1 LB or Greater,20.8,-4.16,16.64,3140228,9.0,1,7.0,Middleburg,FL,32068,15.0x 15.0x 10.0,16.64,0.0
1ZR4R346YW90714015,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140114,6.0,1,5.0,Austin,TX,78723,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW90697928,2022-03-01,UPS SurePost - 1 LB or Greater,20.8,-4.16,16.64,3140122,9.0,1,7.0,Delray Beach,FL,33446,15.0x 15.0x 10.0,16.64,0.0
1ZR4R346YW90595305,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140213,6.0,1,5.0,Maumelle,AR,72113,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW90425444,2022-03-01,UPS SurePost - 1 LB or Greater,16.84,-3.37,13.47,3140198,4.0,1,6.0,Cumming,GA,30040,14.0x 14.0x  4.0,13.469999999999999,-0.0
1ZR4R346YW90384882,2022-03-01,UPS SurePost - 1 LB or Greater,21.03,-3.44,17.59,3140173,6.0,1,5.0,CHICO,CA,95973,15.0x 15.0x  6.0,17.59,0.0
1ZR4R346YW90329512,2022-03-01,UPS SurePost - 1 LB or Greater,16.41,-3.28,13.13,3140264,4.0,1,5.0,Neenah,WI,54956,14.0x 14.0x  4.0,13.13,0.0
1ZR4R346YW90296861,2022-03-01,UPS SurePost - 1 LB or Greater,21.47,-3.37,18.1,3140195,4.0,1,6.0,Butler,AL,36904,14.0x 14.0x  4.0,18.099999999999998,-0.0
1ZR4R346YW90092401,2022-03-01,UPS SurePost - 1 LB or Greater,20.8,-4.16,16.64,3140206,9.0,1,7.0,Buzzards Bay,MA,02532,15.0x 15.0x 10.0,16.64,0.0
1ZR4R346YW90075555,2022-03-01,UPS SurePost - 1 LB or Greater,17.81,-3.56,14.25,3140244,6.0,1,6.0,Muscle Shoals,AL,35661,15.0x 15.0x  6.0,14.25,0.0
1ZR4R346YW91488456,2022-03-01,UPS SurePost - 1 LB or Greater,20.06,-3.08,16.98,3140242,4.0,1,4.0,Declo,ID,83323,14.0x 14.0x  4.0,16.98,0.0
1ZR4R346YW91587278,2022-03-01,UPS SurePost - 1 LB or Greater,18.38,-3.69,14.69,3140259,9.0,1,5.0,Los Angeles,CA,90016,15.0x 15.0x 10.0,14.69,0.0
1ZR4R346YW93177896,2022-03-01,UPS SurePost - 1 LB or Greater,18.75,-3.74,15.01,3140216,6.0,1,7.0,Williamstown,NJ,08094,15.0x 15.0x  6.0,15.01,0.0
1ZR4R346YW92394733,2022-03-01,UPS SurePost - 1 LB or Greater,21.03,-3.44,17.59,3140124,6.0,1,5.0,Corsicana,TX,75110,15.0x 15.0x  6.0,17.59,0.0
1ZR4R346YW93127029,2022-03-01,UPS SurePost - 1 LB or Greater,20.8,-4.16,16.64,3140183,9.0,1,7.0,Middleburg,FL,32068,15.0x 15.0x 10.0,16.64,0.0
1ZR4R346YW93066792,2022-03-01,UPS SurePost - 1 LB or Greater,21.65,-3.56,18.09,3140151,6.0,1,6.0,Thomasville,GA,31792,15.0x 15.0x  6.0,18.09,0.0
1ZR4R346YW92830878,2022-03-01,UPS SurePost - 1 LB or Greater,22.58,-3.74,18.84,3140224,6.0,1,7.0,Scott Township,PA,18411,15.0x 15.0x  6.0,18.84,0.0
1ZR4R346YW92740055,2022-03-01,UPS SurePost - 1 LB or Greater,21.03,-3.44,17.59,3140179,6.0,1,5.0,Lodi,CA,95240,15.0x 15.0x  6.0,17.59,0.0
1ZR4R346YW92644936,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140161,6.0,1,5.0,PORT NECHES,TX,77651,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW92629971,2022-03-01,UPS SurePost - 1 LB or Greater,18.38,-3.69,14.69,3140138,9.0,1,5.0,Neenah,WI,54956,15.0x 15.0x 10.0,14.69,0.0
1ZR4R346YW92589836,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140111,6.0,1,5.0,Naperville,IL,60564,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW92530942,2022-03-01,UPS SurePost - 1 LB or Greater,18.38,-3.69,14.69,3140171,9.0,1,5.0,Diamond Bar,CA,91765,15.0x 15.0x 10.0,14.69,0.0
1ZR4R346YW92493493,2022-03-01,UPS SurePost - 1 LB or Greater,20.06,-3.08,16.98,3140132,4.0,1,4.0,Kamas,UT,84036,14.0x 14.0x  4.0,16.98,0.0
1ZR4R346YW92462365,2022-03-01,UPS SurePost - 1 LB or Greater,23.0,-3.69,19.31,3140141,9.0,1,5.0,Spangle,WA,99031,15.0x 15.0x 10.0,19.31,0.0
1ZR4R346YW92452429,2022-03-01,UPS SurePost - 1 LB or Greater,21.03,-3.28,17.75,3140204,4.0,1,5.0,Dike,IA,50624,14.0x 14.0x  4.0,17.75,0.0
1ZR4R346YW92332040,2022-03-01,UPS SurePost - 1 LB or Greater,17.92,-3.57,14.35,3140236,4.0,1,7.0,NEW PROVIDENCE,NJ,07974,14.0x 14.0x  4.0,14.350000000000001,0.0
1ZR4R346YW91649504,2022-03-01,UPS SurePost - 1 LB or Greater,17.92,-3.57,14.35,3140258,4.0,1,7.0,Saint Johns,FL,32259,14.0x 14.0x  4.0,14.350000000000001,0.0
1ZR4R346YW92314248,2022-03-01,UPS SurePost - 1 LB or Greater,20.8,-4.16,16.64,3140250,9.0,1,7.0,Chas,SC,29407,15.0x 15.0x 10.0,16.64,0.0
1ZR4R346YW92271197,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140256,6.0,1,5.0,Indianapolis,IN,46214,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW92158202,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140150,6.0,1,5.0,AUSTIN,TX,78753,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW92087155,2022-03-01,UPS SurePost - 1 LB or Greater,17.81,-3.56,14.25,3140159,6.0,1,6.0,Marietta,GA,30066,15.0x 15.0x  6.0,14.25,0.0
1ZR4R346YW92012672,2022-03-01,UPS SurePost - 1 LB or Greater,18.75,-3.74,15.01,3140174,6.0,1,7.0,Bradenton,FL,34210,15.0x 15.0x  6.0,15.01,0.0
